0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
감사참여자  ＼ 인원수 및 시간,감사참여자  ＼ 인원수 및 시간,품질관리 검토자 (심리실 등),품질관리 검토자 (심리실 등),감사업무 담당 회계사,감사업무 담당 회계사,감사업무 담당 회계사,감사업무 담당 회계사,감사업무 담당 회계사,감사업무 담당 회계사,전산감사ㆍ 세무ㆍ가치평가  등 전문가,전산감사ㆍ 세무ㆍ가치평가  등 전문가,건설계약 등 수주산업 전문가,건설계약 등 수주산업 전문가,합계,합계
감사참여자  ＼ 인원수 및 시간,감사참여자  ＼ 인원수 및 시간,품질관리 검토자 (심리실 등),품질관리 검토자 (심리실 등),담당이사 (업무수행이사),담당이사 (업무수행이사),등록 공인회계사,등록 공인회계사,수습 공인회계사,수습 공인회계사,전산감사ㆍ 세무ㆍ가치평가  등 전문가,전산감사ㆍ 세무ㆍ가치평가  등 전문가,건설계약 등 수주산업 전문가,건설계약 등 수주산업 전문가,합계,합계
감사참여자  ＼ 인원수 및 시간,감사참여자  ＼ 인원수 및 시간,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기
투입 인원수,투입 인원수,11.0,10.0,1.0,1.0,33.0,38.0,17.0,17.0,64.0,65.0,0.0,0.0,126.0,131.0
투입시간,분ㆍ반기검토,156.0,99.0,267.0,307.0,12787.0,15802.0,3072.0,2830.0,4327.0,3337.0,0.0,0.0,20609.0,22375.0
투입시간,감사,308.0,412.0,1004.0,1025.0,29004.0,26093.0,11145.0,8943.0,16076.0,18151.0,0.0,0.0,57537.0,54624.0
투입시간,합계,464.0,511.0,1271.0,1332.0,41791.0,41895.0,14217.0,11773.0,20403.0,21488.0,0.0,0.0,78146.0,76999.0
