구 분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산:,,금융자산:,,금융자산:
현금및현금성자산,3921593.0,(*1),3918872.0,(*1)
단기금융상품,137.0,(*1),15000576.0,(*1)
매출채권,20503223.0,(*1),33088247.0,(*1)
기타포괄손익-공정가치금융자산,1364325.0,1364325,1662532.0,1662532
당기손익-공정가치금융자산,283.0,283,2135.0,2135
기타,5470355.0,(*1),5076418.0,(*1)
계,31259916.0,,58748780.0,
금융부채:,,금융부채:,,금융부채:
매입채무,8729315.0,(*1),11557441.0,(*1)
단기차입금,2381512.0,(*1),9204268.0,(*1)
미지급금,18324604.0,(*1),12948960.0,(*1)
유동성장기부채,135753.0,6580,139328.0,6276
- 유동성장기차입금,129525.0,(*2),133518.0,(*2)
- 유동성사채,6228.0,6580,5810.0,6276
사채,24912.0,27845,29048.0,35863
장기차입금,654979.0,(*2),431915.0,(*2)
장기미지급금,2083790.0,(*1),2335218.0,(*1)
기타,3145473.0,(*1),3056156.0,(*1)
계,35480338.0,,39702334.0,
