계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,-3406625.0,3195.0,-3403430.0,-936822.0,38317.0,-898505.0
"종속기업, 관계기업 및 공동기업 투자(*1)",-3837368.0,0.0,-3837368.0,-853165.0,34127.0,-819038.0
감가상각누계액 등,-2456302.0,-3733239.0,-6189541.0,-675483.0,-958555.0,-1634038.0
미수수익,-54107.0,44687.0,-9420.0,-14879.0,12392.0,-2487.0
충당부채 및 미지급비용 등,11098305.0,2589469.0,13687774.0,3052034.0,561538.0,3613572.0
외화평가조정,-5313.0,562866.0,557553.0,-1461.0,148655.0,147194.0
자산손상,1096297.0,-105290.0,991007.0,220916.0,-36634.0,184282.0
퇴직급여,-6093355.0,685667.0,-5407688.0,-1675673.0,248043.0,-1427630.0
분할 시 투자주식 평가증(*2),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,3897591.0,624521.0,4522112.0,478445.0,145735.0,624180.0
소 계,10825945.0,671876.0,11497821.0,-406088.0,193618.0,-212470.0
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,672053.0,1153334.0,1825387.0,614893.0,1010632.0,1625525.0
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,-124938.0,291573.0,166635.0,-34358.0,78349.0,43991.0
순확정급여부채(자산) 재측정요소,3769652.0,-1173189.0,2596463.0,1036653.0,-351187.0,685466.0
소 계,3644714.0,-881616.0,2763098.0,1002295.0,-272838.0,729457.0
이연법인세자산(부채) 계,,,,1211100.0,931412.0,2142512.0
