구 분,전기 | 삼성전기㈜,전기 | 삼성에스디에스㈜,전기 | 삼성바이오로직스㈜,전기 | 삼성SDI㈜,전기 | ㈜제일기획
요약 재무상태표:,,,,,
유동자산,4598269.0,7575968.0,2823175.0,7444907.0,2018598.0
비유동자산,5343105.0,2941464.0,5146835.0,18388286.0,523513.0
유동부채,2234657.0,2370290.0,1107295.0,6461286.0,1224222.0
비유동부채,835592.0,703442.0,1871614.0,4175208.0,190622.0
요약 포괄손익계산서:,,,,,
매출,9675036.0,13630002.0,1568007.0,13553220.0,3325712.0
계속영업손익(*),1055411.0,611171.0,393589.0,1169801.0,165485.0
세후중단영업손익(*),-162966.0,0.0,0.0,0.0,0.0
기타포괄손익(*),151809.0,134163.0,-1270.0,623792.0,32535.0
총포괄손익(*),1044254.0,745334.0,392319.0,1793593.0,198020.0
