구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,77795.0,-77795.0,119312.0,-119312.0
EUR,-53114.0,53114.0,-33776.0,33776.0
INR,52012.0,-52012.0,25057.0,-25057.0
