구 분,기초,재무현금흐름,비현금흐름 | 리스신규계약,비현금흐름 | 기타(*),기말
단기차입금,9204268.0,-6700826.0,0.0,-121930.0,2381512.0
사채 및 장기차입금,600291.0,-155264.0,673493.0,-302876.0,815644.0
계,9804559.0,-6856090.0,673493.0,-424806.0,3197156.0
