금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
평가손익(기타포괄손익),0.0,-208883.0,0.0,-208883.0
평가ㆍ처분손익(당기손익),0.0,0.0,271057.0,271057.0
이자수익,339242.0,0.0,0.0,339242.0
외환차이(당기손익),-668955.0,,0.0,-668955.0
배당금수익,0.0,3594.0,0.0,3594.0
손상(환입),-2130.0,0.0,0.0,-2130.0
