구 분,당기말,전기말
할인율:,할인율:,할인율:
1%p 증가,92.0,91.0
1%p 감소,109.0,110.0
임금상승률:,임금상승률:,임금상승률:
1%p 증가,109.0,110.0
1%p 감소,92.0,91.0
