구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,23791.0,119401.0
종속기업,"Samsung Electronics America, Inc. (SEA)",4708011.0,143310.0
종속기업,"Samsung (China) Semiconductor Co., Ltd. (SCS)",59110.0,726945.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",734283.0,4049400.0
종속기업,Harman과 그 종속기업(*4),0.0,7541.0
종속기업,"Samsung Electronics Vietnam Co., Ltd. (SEV)",414781.0,2301949.0
종속기업,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",138307.0,77540.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),316.0,0.0
종속기업,"Samsung Semiconductor, Inc. (SSI)",7320890.0,123555.0
종속기업,Samsung Asia Pte. Ltd. (SAPL),1736.0,2164.0
종속기업,Samsung Austin Semiconductor LLC (SAS),4645.0,277682.0
종속기업,Samsung India Electronics Private Ltd. (SIEL),1099927.0,463652.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",4337520.0,217.0
종속기업,"Samsung Display Vietnam Co., Ltd. (SDV)",161441.0,0.0
종속기업,Samsung Eletronica da Amazonia Ltda. (SEDA),258490.0,1040.0
종속기업,Samsung Electronics (UK) Ltd. (SEUK),201717.0,19595.0
종속기업,"Samsung International, Inc. (SII)",32564.0,259847.0
종속기업,"Thai Samsung Electronics Co., Ltd. (TSE)",132508.0,334943.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",167225.0,430960.0
종속기업,"Samsung Electronics Taiwan Co., Ltd. (SET)",372716.0,32145.0
종속기업,"Samsung Electronics Hungarian Private Co., Ltd. (SEH)",58694.0,99.0
종속기업,Samsung Electronics Europe Logistics B.V. (SELS),629882.0,1715.0
종속기업,Samsung Electronics Benelux B.V. (SEBN),45171.0,3351.0
종속기업,Samsung Electronics GmbH (SEG),223603.0,2272.0
종속기업,"Samsung Display Dongguan Co., Ltd. (SDD)",18025.0,0.0
종속기업,기타,9220424.0,2284643.0
종속기업,계,30365777.0,11663966.0
