구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
연체되지 않은 채권,19948076.0,2237287.0,32986766.0,1640450.0
연체된 채권(*):,,,,
31일 이하,581231.0,651489.0,181986.0,31420.0
31일 초과 90일 이하,89722.0,30611.0,26727.0,17586.0
90일 초과,101678.0,26511.0,157988.0,165680.0
소 계,772631.0,708611.0,366701.0,214686.0
계,20720707.0,2945898.0,33353467.0,1855136.0
