구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,37469.0,7014.0,37992.0,5331.0
대손상각(환입),19235.0,-1998.0,-489.0,1739.0
제각,-94.0,-619.0,-34.0,-56.0
기말,56610.0,4397.0,37469.0,7014.0
