구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,141014.0,0.0,1542039.0,530412.0
관계기업 및 공동기업,삼성전기㈜,45303.0,0.0,975086.0,0.0
관계기업 및 공동기업,삼성SDI㈜,49995.0,269.0,360350.0,30627.0
관계기업 및 공동기업,㈜제일기획,26794.0,0.0,720533.0,16.0
관계기업 및 공동기업,기타,595551.0,68.0,773381.0,8011.0
관계기업 및 공동기업,계,858657.0,337.0,4371389.0,569066.0
그 밖의 특수관계자,삼성물산㈜,66745.0,0.0,78054.0,3902417.0
그 밖의 특수관계자,기타,303093.0,0.0,564706.0,92577.0
그 밖의 특수관계자,계,369838.0,0.0,642760.0,3994994.0
기타(*2),삼성엔지니어링㈜,598.0,0.0,38556.0,2106166.0
기타(*2),㈜에스원,7132.0,0.0,401224.0,27744.0
기타(*2),기타,106714.0,2371.0,200387.0,38531.0
기타(*2),계,114444.0,2371.0,640167.0,2172441.0
