구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds(*),1997.10.02,2027.10.01,7.7,,
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-707.0,-853.0
계,계,계,,34858.0,37227.0
차감: 유동성사채,차감: 유동성사채,차감: 유동성사채,,-5810.0,-5318.0
비유동성사채,비유동성사채,비유동성사채,,29048.0,31909.0
