구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
채권액,33353467.0,1855136.0,24841610.0,1915583.0
차감: 손실충당금,-56610.0,-4397.0,-37469.0,-7014.0
소 계,33296857.0,1850739.0,24804141.0,1908569.0
차감: 장기 채권,-208610.0,-18251.0,-67401.0,-9986.0
유동항목,33088247.0,1832488.0,24736740.0,1898583.0
