구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds(*),1997.10.02,2027.10.01,7.7,,
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-255.0,-370.0
계,계,계,,21795.0,25418.0
차감: 유동성사채,차감: 유동성사채,차감: 유동성사채,,-7265.0,-6354.0
비유동성사채,비유동성사채,비유동성사채,,14530.0,19064.0
