구 분,기초,재무현금흐름,비현금흐름 | 리스신규계약,비현금흐름 | 기타(*),기말
단기차입금,5625163.0,5316919.0,0.0,168890.0,11110972.0
사채 및 장기차입금,23149590.0,-217305.0,199042.0,-56868.0,23074459.0
계,28774753.0,5099614.0,199042.0,112022.0,34185431.0
