구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,4575.0,1295293.0,8142.0,532903.0,1840913.0
일반취득,193.0,74707.0,77272.0,46870.0,199042.0
감가상각,-2340.0,-231116.0,-29075.0,-46160.0,-308691.0
계약의 해지,-328.0,-3083.0,0.0,-145.0,-3556.0
기타,914.0,0.0,-283.0,1805.0,2436.0
기말장부금액,3014.0,1135801.0,56056.0,535273.0,1730144.0
