구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
채권액,33967334.0,3263714.0,27421756.0,1927564.0
차감: 손실충당금,-126977.0,-4303.0,-58740.0,-6230.0
소 계,33840357.0,3259411.0,27363016.0,1921334.0
차감: 장기 채권,0.0,-9680.0,0.0,-11280.0
유동항목,33840357.0,3249731.0,27363016.0,1910054.0
