금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
현금및현금성자산,6061451.0,0.0,0.0,6061451.0
단기금융상품,50071.0,0.0,0.0,50071.0
매출채권,27363016.0,0.0,0.0,27363016.0
기타포괄손익-공정가치금융자산,0.0,1854503.0,0.0,1854503.0
당기손익-공정가치금융자산,0.0,0.0,1.0,1.0
기타,4972284.0,0.0,393235.0,5365519.0
계,38446822.0,1854503.0,393236.0,40694561.0
