구 분,당기말 | 수준 1,당기말 | 수준 2,당기말 | 수준 3,당기말 | 계
금융자산:,금융자산:,금융자산:,금융자산:,금융자산:
기타포괄손익-공정가치금융자산,2072180.0,0.0,104166.0,2176346.0
당기손익-공정가치금융자산,0.0,0.0,0.0,0.0
기타,0.0,0.0,373681.0,373681.0
금융부채:,금융부채:,금융부채:,금융부채:,금융부채:
유동성사채,0.0,7737.0,0.0,7737.0
사채,0.0,16427.0,0.0,16427.0
