구 분,당기말 | 주식수(주),당기말 | 시장가치,당기말 | 장부금액,전기말 | 시장가치,전기말 | 장부금액
삼성전기㈜,17693084.0,2190404.0,445244.0,2710580.0,445244.0
삼성에스디에스㈜,17472110.0,2232936.0,560827.0,2970259.0,560827.0
삼성바이오로직스㈜,22217309.0,21084226.0,1595892.0,16885155.0,1595892.0
삼성SDI㈜,13462673.0,3332012.0,1242605.0,6354382.0,1242605.0
㈜제일기획,29038075.0,492195.0,491599.0,552595.0,491599.0
