구분,일자,참석자,방식,주요 논의 내용
1,2024년 01월 29일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 5명,대면회의,연간 회계감사 진행 상황 핵심 감사사항 등 중점 감사사항 내부회계관리제도 감사 진행 상황 기타 감사종료단계 필수 커뮤니케이션 사항
2,2024년 04월 26일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 5명,대면회의,분기 검토 경과 보고 연간 회계감사 계획 기타 감사계획단계 필수 커뮤니케이션 사항
3,2024년 07월 29일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 5명,대면회의,연간 회계감사 진행 상황 핵심 감사사항 선정 계획 내부회계관리제도 감사 진행 상황 분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
4,2024년 10월 25일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 5명,대면회의,연간 회계감사 진행 상황 핵심 감사사항 선정 계획 내부회계관리제도 감사 진행 상황 분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
5,2024년 11월 27일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 4명,대면회의,연간 회계감사 진행 상황 핵심 감사사항 선정 계획
6,2025년 01월 24일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 5명,대면회의,연간 회계감사 진행 상황 핵심 감사사항 등 중점 감사사항 내부회계관리제도 감사 진행 상황 기타 감사종료단계 필수 커뮤니케이션 사항
