구 분,유통보통주식수,유통우선주식수
전기초,5969782550.0,822886700.0
- 자기주식의 취득,0.0,0.0
전기말,5969782550.0,822886700.0
당기초,5969782550.0,822886700.0
- 자기주식의 취득,-29700000.0,-4050000.0
당기말,5940082550.0,818836700.0
