금융자산,당기,전기
기초,490403.0,116726.0
매입,0.0,27784.0
매도,-2942.0,-343.0
당기손익으로 인식된 손익,-19555.0,365451.0
기타포괄손익으로 인식된 손익,9941.0,-19215.0
기말,477847.0,490403.0
