구 분,산업재산권,개발비,회원권,기타,계
기초장부금액,1287798.0,0.0,196827.0,8955586.0,10440211.0
개별 취득,270328.0,0.0,13531.0,2213977.0,2497836.0
상각,-236511.0,0.0,0.0,-2195761.0,-2432272.0
처분ㆍ폐기,-33661.0,0.0,0.0,-16040.0,-49701.0
손상(환입),0.0,0.0,-826.0,0.0,-826.0
기타,-741.0,0.0,0.0,42449.0,41708.0
기말장부금액,1287213.0,0.0,209532.0,9000211.0,10496956.0
