금융부채,상각후원가 측정 금융부채,기타금융부채(*),계
매입채무,7943834.0,0.0,7943834.0
단기차입금,0.0,5625163.0,5625163.0
미지급금,15015578.0,0.0,15015578.0
유동성장기부채,6354.0,222137.0,228491.0
사채,19064.0,0.0,19064.0
장기차입금,21990000.0,912035.0,22902035.0
장기미지급금,4486390.0,0.0,4486390.0
기타,3652969.0,0.0,3652969.0
계,53114189.0,6759335.0,59873524.0
