지역,기업명,업종,지분율 (%)(*)
미주,"Samsung Electronics America, Inc. (SEA)",전자제품 판매,100.0
미주,"Samsung International, Inc. (SII)",전자제품 생산,100.0
미주,Samsung Mexicana S.A. de C.V (SAMEX),전자제품 생산,100.0
미주,"Samsung Electronics Home Appliances America, LLC (SEHA)",가전제품 생산,100.0
미주,"Samsung Research America, Inc (SRA)",R&D,100.0
미주,SAMSUNG NEXT LLC (SNX),해외자회사 관리,100.0
미주,SAMSUNG NEXT FUND LLC (SNXF),"신기술사업자, 벤처기업 투자",100.0
미주,NeuroLogica Corp.,의료기기 생산 및 판매,100.0
미주,"Samsung Lennox HVAC North America, LLC",에어컨공조 판매,50.1
미주,"Joyent, Inc.",클라우드서비스,100.0
미주,"SmartThings, Inc.",스마트홈 플랫폼,100.0
미주,"TeleWorld Solutions, Inc. (TWS)",네트워크장비 설치 및 최적화,100.0
미주,"Samsung Semiconductor, Inc. (SSI)",반도체ㆍ디스플레이 패널 판매,100.0
미주,"Samsung Federal, Inc. (SFI)",R&D,100.0
미주,Samsung Austin Semiconductor LLC. (SAS),반도체 생산,100.0
미주,"Samsung Oak Holdings, Inc. (SHI)",해외자회사 관리,100.0
미주,"SEMES America, Inc.",반도체 장비 서비스,100.0
미주,"Samsung Display America Holdings, Inc. (SDAH)",해외자회사 관리,100.0
미주,eMagin Corporation,디스플레이 패널 개발 및 생산,100.0
미주,"Samsung Electronics Canada, Inc. (SECA)",전자제품 판매,100.0
미주,AdGear Technologies Inc.,디지털광고 플랫폼,100.0
미주,Sonio Corporation,소프트웨어 판매,100.0
