구 분,당기말 | 평가전금액,당기말 | 평가충당금,당기말 | 장부금액,전기말 | 평가전금액,전기말 | 평가충당금,전기말 | 장부금액
제품 및 상품,6374009.0,-774903.0,5599106.0,7914117.0,-1203662.0,6710455.0
반제품 및 재공품,20944352.0,-1802857.0,19141495.0,21866523.0,-3863881.0,18002642.0
원재료 및 저장품,4561944.0,-552073.0,4009871.0,4910170.0,-861821.0,4048349.0
미착품,403643.0,0.0,403643.0,576705.0,0.0,576705.0
계,32283948.0,-3129833.0,29154115.0,35267515.0,-5929364.0,29338151.0
