구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,132956.0,-132956.0,201224.0,-201224.0
EUR,-92620.0,92620.0,-25356.0,25356.0
