구 분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,84541.0,418787.0
관계기업 및 공동기업,삼성전기㈜,1857.0,86166.0
관계기업 및 공동기업,삼성SDI㈜,114103.0,50149.0
관계기업 및 공동기업,㈜제일기획,51.0,429435.0
관계기업 및 공동기업,기타,164058.0,183813.0
관계기업 및 공동기업,계,364610.0,1168350.0
그 밖의 특수관계자,삼성물산㈜,190443.0,1876745.0
그 밖의 특수관계자,기타,13835.0,149585.0
그 밖의 특수관계자,계,204278.0,2026330.0
기타(*3),삼성이앤에이㈜,269.0,766329.0
기타(*3),㈜에스원,598.0,39223.0
기타(*3),기타,4342.0,265721.0
기타(*3),계,5209.0,1071273.0
