구 분,DX 부문,DS 부문,계(*)
매출액,109294016.0,108861352.0,209052241.0
감가상각비,565540.0,29518534.0,30285298.0
무형자산상각비,1595847.0,605793.0,2432272.0
영업이익,1474559.0,10886378.0,12361034.0
