내 역,금액 | 당기말,금액 | 전기말
임대주택 관련 채무보증(*),5235,7323
해외종속기업에 대한 채무보증 (한도 기준),"US$ 8,281 (원화환산액: \9,259,529)","US$ 8,294 (원화환산액: \8,885,708)"
해외종속기업에 대한 채무보증 (실차입금 기준),"US$ 217 (원화환산액: \240,989)","US$ 441 (원화환산액: \473,014)"
