과 목,주 석,제 50 (당) 기,제 50 (당) 기_2,제 49 (전) 기,제 49 (전) 기_2
자 산,,,,,
Ⅰ. 유 동 자 산,,,80039455.0,,70155189.0
1. 현금및현금성자산,"4, 6, 31",2607957.0,,2763768.0,
2. 단기금융상품,"5, 6, 31",34113871.0,,25510064.0,
3. 매출채권,"6, 7, 10, 31",24933267.0,,27881777.0,
4. 미수금,"6, 10",1515079.0,,2201402.0,
5. 선급금,,807262.0,,1097598.0,
6. 선급비용,,2230628.0,,2281179.0,
7. 재고자산,11,12440951.0,,7837144.0,
8. 기타유동자산,6,1390440.0,,582257.0,
Ⅱ. 비 유 동 자 산,,,138981902.0,,128086171.0
1. 장기매도가능금융자산,"6, 9, 31",0.0,,973353.0,
2. 기타포괄손익-공정가치금융자산,"6, 8, 31",1098565.0,,0.0,
3. 당기손익-공정가치금융자산,"6, 8, 31",7413.0,,0.0,
"4. 종속기업, 관계기업 및 공동기업 투자",12,55959745.0,,55671759.0,
5. 유형자산,13,70602493.0,,62816961.0,
6. 무형자산,14,2901476.0,,2827035.0,
7. 장기선급비용,,4108410.0,,3031327.0,
8. 순확정급여자산,17,562356.0,,811210.0,
9. 이연법인세자산,28,654456.0,,586161.0,
10. 기타비유동자산,6,3086988.0,,1368365.0,
자 산 총 계,,,219021357.0,,198241360.0
부 채,,,,,
Ⅰ. 유 동 부 채,,,43145053.0,,44495084.0
1. 매입채무,"6, 31",7315631.0,,6398629.0,
2. 단기차입금,"6, 7, 15, 31",10353873.0,,12229701.0,
3. 미지급금,"6, 31",8385752.0,,9598654.0,
4. 선수금,20,214615.0,,214007.0,
5. 예수금,6,572702.0,,500740.0,
6. 미지급비용,"6, 20",6129837.0,,6657674.0,
7. 미지급법인세,,7925887.0,,6565781.0,
8. 유동성장기부채,"6, 16, 31",5440.0,,5201.0,
9. 충당부채,18,2135314.0,,2273688.0,
10. 기타유동부채,20,106002.0,,51009.0,
Ⅱ. 비 유 동 부 채,,,2888179.0,,2176501.0
1. 사채,"6, 16, 31",43516.0,,46808.0,
2. 장기미지급금,"6, 31",2472416.0,,1750379.0,
3. 장기충당부채,18,372217.0,,379201.0,
4. 기타비유동부채,20,30.0,,113.0,
부 채 총 계,,,46033232.0,,46671585.0
자 본,,,,,
Ⅰ. 자본금,21,,897514.0,,897514.0
1. 우선주자본금,,119467.0,,119467.0,
2. 보통주자본금,,778047.0,,778047.0,
Ⅱ. 주식발행초과금,,,4403893.0,,4403893.0
Ⅲ. 이익잉여금,22,,166555532.0,,150928724.0
Ⅳ. 기타자본항목,23,,1131186.0,,-4660356.0
자 본 총 계,,,172988125.0,,151569775.0
부채와자본총계,,,219021357.0,,198241360.0
