table_index,csv_path,row_count,col_count,unit,col_types
2,tables/table_0002.csv,52,6,백만원,"{""과 목"": ""텍스트"", ""주석"": ""주석"", ""제 46 (당) 기"": ""금액"", ""제 46 (당) 기_2"": ""금액"", ""제 45 (전) 기"": ""금액"", ""제 45 (전) 기_2"": ""금액""}"
3,tables/table_0003.csv,15,6,백만원,"{""과 목"": ""텍스트"", ""주석"": ""주석"", ""제 46 (당) 기"": ""금액"", ""제 46 (당) 기_2"": ""금액"", ""제 45 (전) 기"": ""금액"", ""제 45 (전) 기_2"": ""금액""}"
4,tables/table_0004.csv,7,6,백만원,"{""과 목"": ""텍스트"", ""주석"": ""주석"", ""제 46 (당) 기"": ""금액"", ""제 46 (당) 기_2"": ""금액"", ""제 45 (전) 기"": ""금액"", ""제 45 (전) 기_2"": ""금액""}"
5,tables/table_0005.csv,22,8,백만원,"{""과 목"": ""텍스트"", ""주석"": ""주석"", ""자본금"": ""금액"", ""주식발행 초과금"": ""금액"", ""이익잉여금"": ""금액"", ""기타자본항목"": ""금액"", ""매각예정분류기타자본항목"": ""금액"", ""총 계"": ""금액""}"
6,tables/table_0006.csv,30,6,백만원,"{""과 목"": ""텍스트"", ""주석"": ""주석"", ""제 46 (당) 기"": ""금액"", ""제 46 (당) 기_2"": ""금액"", ""제 45 (전) 기"": ""금액"", ""제 45 (전) 기_2"": ""금액""}"
7,tables/table_0007.csv,3,2,,"{""구 분"": ""텍스트"", ""대표추정내용연수"": ""텍스트""}"
8,tables/table_0008.csv,2,2,,"{""구 분"": ""텍스트"", ""대표추정내용연수"": ""텍스트""}"
9,tables/table_0009.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
10,tables/table_0010.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
11,tables/table_0011.csv,7,4,백만원,"{""금융자산"": ""텍스트"", ""대여금 및 수취채권"": ""금액"", ""매도가능금융자산"": ""금액"", ""합계"": ""금액""}"
12,tables/table_0012.csv,8,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가로 측정하는 금융부채"": ""금액"", ""기타금융부채"": ""금액"", ""합계"": ""금액""}"
13,tables/table_0013.csv,7,4,백만원,"{""금융자산"": ""텍스트"", ""대여금 및 수취채권"": ""금액"", ""매도가능금융자산"": ""금액"", ""합계"": ""금액""}"
