table_index,csv_path,row_count,col_count,unit,col_types
2,tables/table_0002.csv,48,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 51 (당) 기"": ""금액"", ""제 51 (당) 기_2"": ""금액"", ""제 50 (전) 기"": ""금액"", ""제 50 (전) 기_2"": ""금액""}"
3,tables/table_0003.csv,15,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 51 (당) 기"": ""금액"", ""제 51 (당) 기_2"": ""금액"", ""제 50 (전) 기"": ""금액"", ""제 50 (전) 기_2"": ""금액""}"
4,tables/table_0004.csv,7,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 51 (당) 기"": ""금액"", ""제 51 (당) 기_2"": ""금액"", ""제 50 (전) 기"": ""금액"", ""제 50 (전) 기_2"": ""금액""}"
5,tables/table_0005.csv,20,7,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""자본금"": ""금액"", ""주식발행 초과금"": ""금액"", ""이익잉여금"": ""금액"", ""기타자본항목"": ""금액"", ""총 계"": ""금액""}"
6,tables/table_0006.csv,34,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 51 (당) 기"": ""금액"", ""제 51 (당) 기_2"": ""금액"", ""제 50 (전) 기"": ""금액"", ""제 50 (전) 기_2"": ""금액""}"
7,tables/table_0007.csv,6,2,백만원,"{""구 분"": ""텍스트"", ""금 액"": ""금액""}"
8,tables/table_0008.csv,3,2,,"{""구 분"": ""텍스트"", ""대표추정내용연수"": ""텍스트""}"
9,tables/table_0009.csv,2,2,,"{""구 분"": ""텍스트"", ""대표추정내용연수"": ""텍스트""}"
10,tables/table_0010.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
11,tables/table_0011.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
12,tables/table_0012.csv,7,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
13,tables/table_0013.csv,9,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
14,tables/table_0014.csv,7,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
15,tables/table_0015.csv,8,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
16,tables/table_0016.csv,6,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
17,tables/table_0017.csv,2,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
18,tables/table_0018.csv,6,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
19,tables/table_0019.csv,2,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
20,tables/table_0020.csv,2,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
21,tables/table_0021.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
22,tables/table_0022.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
23,tables/table_0023.csv,6,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
24,tables/table_0024.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
25,tables/table_0025.csv,6,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
26,tables/table_0026.csv,11,6,백만원,"{""기 업 명"": ""텍스트"", ""당기말 | 보유주식수(주)"": ""주"", ""당기말 | 지분율(%)(*)"": ""%"", ""당기말 | 취득원가"": ""금액"", ""당기말 | 장부금액 (시장가치)"": ""금액"", ""전기말 | 장부금액 (시장가치)"": ""금액""}"
27,tables/table_0027.csv,5,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 매출채권"": ""금액"", ""당기말 | 미수금"": ""금액"", ""전기말 | 매출채권"": ""금액"", ""전기말 | 미수금"": ""금액""}"
28,tables/table_0028.csv,5,5,백만원,"{""구 분"": ""텍스트"", ""당기 | 매출채권"": ""금액"", ""당기 | 미수금"": ""금액"", ""전기 | 매출채권"": ""금액"", ""전기 | 미수금"": ""금액""}"
29,tables/table_0029.csv,7,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 매출채권"": ""금액"", ""당기말 | 미수금"": ""금액"", ""전기말 | 매출채권"": ""금액"", ""전기말 | 미수금"": ""금액""}"
30,tables/table_0030.csv,5,7,백만원,"{""구 분"": ""텍스트"", ""당기말 | 평가전금액"": ""금액"", ""당기말 | 평가충당금"": ""금액"", ""당기말 | 장부금액"": ""금액"", ""전기말 | 평가전금액"": ""금액"", ""전기말 | 평가충당금"": ""금액"", ""전기말 | 장부금액"": ""금액""}"
31,tables/table_0031.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
32,tables/table_0032.csv,5,5,백만원,"{""기업명"": ""텍스트"", ""관계기업과의 관계의 성격"": ""텍스트"", ""지분율(%)(*1)"": ""%"", ""주사업장"": ""텍스트"", ""결산월"": ""텍스트""}"
33,tables/table_0033.csv,15,5,백만원,"{""기업명(*1)"": ""텍스트"", ""자산"": ""금액"", ""부채"": ""금액"", ""매출액"": ""금액"", ""당기순이익(손실)"": ""금액""}"
34,tables/table_0034.csv,15,5,백만원,"{""기업명(*1)"": ""텍스트"", ""자산"": ""금액"", ""부채"": ""금액"", ""매출액"": ""금액"", ""당기순이익(손실)"": ""금액""}"
35,tables/table_0035.csv,11,6,백만원,"{""구분"": ""텍스트"", ""삼성전기㈜"": ""금액"", ""삼성에스디에스㈜"": ""금액"", ""삼성바이오로직스㈜"": ""금액"", ""삼성SDI㈜"": ""금액"", ""㈜제일기획"": ""금액""}"
36,tables/table_0036.csv,10,6,백만원,"{""구분"": ""텍스트"", ""삼성전기㈜"": ""금액"", ""삼성에스디에스㈜"": ""금액"", ""삼성바이오로직스㈜"": ""금액"", ""삼성SDI㈜"": ""금액"", ""㈜제일기획"": ""금액""}"
37,tables/table_0037.csv,5,6,"주, 백만원","{""기업명"": ""텍스트"", ""당기말 | 주식수"": ""주"", ""당기말 | 시장가치"": ""금액"", ""당기말 | 장부금액"": ""금액"", ""전기말 | 시장가치"": ""금액"", ""전기말 | 장부금액"": ""금액""}"
