해외종속기업,보증처,보증기간,금액,
실차입금,지급보증금액,,,
Samsung Electronics Columbia(SAMCOL),Citibank 외,2019-06-13,"94,584","187,841"
Samsung Electronics Turkey(SETK),BNP 외,2019-06-13,"72,139","919,078"
Samsung Electronics Peru(SEPR),BBVA 외,2019-06-13,"65,643","201,258"
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2019-06-13,"8,623","8,623"
기타,,,-,"7,942,729"
합계,,,"240,989","9,259,529"
