구 분,발행일,만기상환일,연이자율(%),금 액,
당기말,당기말,전기말,,,
US$ denominated Straight Bonds(*),1997.10.02,2027.10.01,7.7,"25,788(US$ 20,000천)","31,683(US$ 25,000천)"
사채할인발행차금,,,,(370),(543)
계,,,,"25,418","31,140"
차감: 유동성사채,,,,"(6,354)","(6,228)"
비유동성사채,,,,"19,064","24,912"
