구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,"141,014",-,"1,542,039","530,412"
삼성전기㈜,"45,303",-,"975,086",-,
삼성SDI㈜,"49,995",269,"360,350","30,627",
㈜제일기획,"26,794",-,"720,533",16,
기타,"595,551",68,"773,381","8,011",
계,"858,657",337,"4,371,389","569,066",
그 밖의특수관계자,삼성물산㈜,"66,745",-,"78,054","3,902,417"
기타,"303,093",-,"564,706","92,577",
계,"369,838",-,"642,760","3,994,994",
기타(*2),삼성엔지니어링㈜,598,-,"38,556","2,106,166"
㈜에스원,"7,132",-,"401,224","27,744",
기타,"106,714","2,371","200,387","38,531",
계,"114,444","2,371","640,167","2,172,441",
