구 분,당기말,전기말
12개월 이내에 결제될 이연법인세자산(부채),"1,624,523","1,238,391"
12개월 이후에 결제될 이연법인세자산(부채),"(1,077,347)","(583,935)"
계,"547,176","654,456"
