구 분,,당기,전기
배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",
배당률(액면가 기준),보통주,1932%,354%
우선주,1933%,355%,
배당금액,보통주,"11,533,620","2,113,303"
우선주,"1,590,640","292,125",
계,"13,124,260","2,405,428",
