구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,"201,304",-,"1,801,672","283,411"
삼성전기㈜,"65,765",-,"786,087",-,
삼성SDI㈜,"68,343",-,"374,035","31,668",
㈜제일기획,"36,020",-,"907,775","1,163",
기타,"601,887",-,"968,224","9,167",
계,"973,319",-,"4,837,793","325,409",
그 밖의특수관계자,삼성물산㈜,"23,156",70,"57,652","5,588,270"
기타,"468,819",-,"762,644","190,405",
계,"491,975",70,"820,296","5,778,675",
기타(*2),삼성이앤에이㈜,"1,162",-,"31,957","2,747,278"
㈜에스원,"4,532",-,"444,657","23,479",
기타,"200,836",-,"281,667","512,899",
계,"206,530",-,"758,281","3,283,656",
