구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,"103,524","21,504","1,960,668","271,717"
삼성전기(주),"37,521",-,"793,001",-,
삼성SDI(주),"70,196",-,"326,467","20,515",
(주)제일기획,"34,803",-,"934,551","7,125",
기타,"641,033",122,"982,206","8,264",
계,"887,077","21,626","4,996,893","307,621",
그 밖의특수관계자,삼성물산㈜,"12,795",-,"119,056","5,658,238"
기타,"629,744",-,"642,110","161,448",
계,"642,539",-,"761,166","5,819,686",
기타(*2),삼성이앤에이㈜,"2,244",-,"57,371","4,209,500"
㈜에스원,"8,812",-,"452,836","38,931",
기타,"207,490",-,"251,877","894,163",
계,"218,546",-,"762,084","5,142,594",
