구 분,기초,재무현금흐름,비현금흐름,,기말
상각,기타(*),,,,
단기차입금,"12,229,701","(1,796,186)",-,"(79,642)","10,353,873"
사채,"52,009","(5,357)",259,"2,045","48,956"
계,"12,281,710","(1,801,543)",259,"(77,597)","10,402,829"
