구 분,유통보통주식수,유통우선주식수
전기초,"127,396,848","18,547,833"
- 자기주식 취득,"(4,699,197)","(1,264,099)"
전기말,"122,697,651","17,283,734"
당기초,"122,697,651","17,283,734"
- 자기주식 취득,"(3,009,282)","(753,325)"
당기말,"119,688,369","16,530,409"
