구 분,금 액
1. 2018년 12월 31일의 금융리스부채,-
2. 2019년 1월 1일의 운용리스 약정 조정내역,"249,034"
- 2018년 12월 31일의 운용리스 약정,"285,567"
- 2019년 1월 1일의 운용리스 약정 할인금액,"269,032"
(조정) 단기리스 및 소액자산 리스 예외규정 적용,"(19,998)"
3. 2019년 1월 1일의 리스부채,"249,034"
