금융자산,당기,전기
기초,"120,347","130,242"
매도,"(12,720)",(912)
당기손익으로 인식된 손익,(108),-
기타포괄손익으로 인식된 손익,"22,926","2,736"
기타,"(13,719)","(11,719)"
기말,"116,726","120,347"
