구 분,공정가치,가치평가기법,Level 3 투입변수,투입변수 범위(가중평균)
태원전기산업,"15,860",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,7.29%~9.29%(8.28%),,,
삼성벤처투자,"7,207",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,11.37%~13.37%(12.37%),,,
