구 분,발행일,만기상환일,연이자율(%),금 액,
당기말,당기말,전기말,,,
US$ denominated Straight Bonds(*),1997.10.02,2027.10.01,7.7,"46,312(US$ 40,000천)","50,315(US$ 45,000천)"
1년이내 만기도래분(유동성사채),,,,"(5,789)","(5,591)"
사채할인발행차금,,,,"(1,003)","(1,208)"
계,,,,"39,520","43,516"
