구분,일자,참석자,방식,주요 논의 내용
1,2020년 04월 27일,감사위원회: 위원 3명회사: 감사팀장감사인: 업무수행이사 외 1명,대면회의,연간 지배기구와의 커뮤니케이션 계획연간 회계감사 일정 계획분기 검토 경과 및 비감사업무 독립성 확인
2,2020년 07월 28일,감사위원회: 위원 3명회사: 감사팀장감사인: 업무수행이사 외 1명,대면회의,연간 감사계획 및 진행 상황핵심감사사항 선정계획내부회계관리제도 감사 진행 상황분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
3,2020년 10월 27일,감사위원회: 위원 3명회사: 감사팀장감사인: 업무수행이사 외 1명,대면회의,연간 감사계획 및 진행 상황핵심감사사항 선정내역내부회계관리제도 감사 진행 상황분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
4,2021년 01월 26일,감사위원회: 위원 3명회사: 감사팀장감사인: 업무수행이사 외 1명,대면회의,핵심감사사항 등 중점 감사사항 내부회계관리제도 감사 진행 상황기타 감사종료단계 필수 커뮤니케이션 사항
