구 분,당기말,전기말
기타포괄손익-공정가치금융자산평가손익,"(122,644)","90,579"
순확정급여부채(자산) 재측정요소,"(1,910,996)","(2,732,997)"
기타,"1,760,408","1,760,408"
계,"(273,232)","(882,010)"
