구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
공동기업,삼성코닝정밀소재,"6,177",-,503,"145,324"
Siltronic Samsung Wafer,-,-,"195,795",-,
기타,-,-,122,-,
공동기업 계,"6,177",-,"196,420","145,324",
그 밖의특수관계자,제일모직(*),"11,323",-,"404,514","423,716"
삼성SDI,"35,978",-,"252,716","1,118",
기타,"93,959",-,"45,656",-,
그 밖의 특수관계자 계,"141,260",-,"702,886","424,834",
