구 분,당기말,전기말
자기주식,"(8,429,313)","(7,323,432)"
주식선택권,806,"10,243"
매도가능금융자산평가손익,"1,222,820","1,701,665"
순확정급여부채 재측정요소,"(1,666,632)","(1,094,259)"
기타,"1,759,048","1,745,724"
계,"(7,113,271)","(4,960,059)"
