과 목,주 석,제 53 (당) 기,,제 52 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"51,250,069",,"37,509,025"
1. 영업에서 창출된 현금흐름,,"50,357,361",,"39,541,654",
가. 당기순이익,,"30,970,954",,"15,615,018",
나. 조정,27,"25,168,062",,"24,319,842",
다. 영업활동으로 인한 자산부채의 변동,27,"(5,781,655)",,"(393,206)",
2. 이자의 수취,,"282,918",,"448,323",
3. 이자의 지급,,"(125,036)",,"(148,262)",
4. 배당금 수입,,"6,560,011",,"129,569",
5. 법인세 납부액,,"(5,825,185)",,"(2,462,259)",
Ⅱ. 투자활동 현금흐름,,,"(24,435,207)",,"(31,175,575)"
1. 단기금융상품의 순감소(증가),,"13,600,708",,"(2,099,892)",
2. 기타포괄손익-공정가치금융자산의 처분,,-,,503,
3. 기타포괄손익-공정가치금융자산의 취득,,"(234,975)",,"(204,957)",
4. 당기손익-공정가치금융자산의 처분,,912,,74,
"5. 종속기업, 관계기업 및 공동기업 투자의 처분",,"605,607",,"22,057",
"6. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(138,858)",,"(163,456)",
7. 유형자산의 처분,,"408,560",,"431,142",
8. 유형자산의 취득,,"(36,021,504)",,"(26,962,042)",
9. 무형자산의 처분,,"5,809",,"1,082",
10. 무형자산의 취득,,"(2,459,929)",,"(2,239,834)",
11. 기타투자활동으로 인한 현금유출입액,,"(201,537)",,"39,748",
Ⅲ. 재무활동 현금흐름,,,"(23,885,054)",,"(7,426,376)"
1. 단기차입금의 순증가(감소),27,"(3,288,858)",,"2,326,350",
2. 사채 및 장기차입금의 상환,27,"(117,963)",,"(134,443)",
3. 배당금의 지급,,"(20,478,233)",,"(9,618,283)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,19,,54
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"2,929,827",,"(1,092,872)"
Ⅵ. 기초의 현금및현금성자산,,,"989,045",,"2,081,917"
Ⅶ. 기말의 현금및현금성자산,,,"3,918,872",,"989,045"
