과 목,주 석,제 54 (당) 기,,제 53 (전) 기,
Ⅰ. 당기순이익,,,"25,418,778",,"30,970,954"
Ⅱ. 기타포괄손익,,,"613,118",,"(613,225)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"613,118",,"(613,225)"
1. 기타포괄손익-공정가치금융자산평가손익,"6, 20","(208,883)",,"(99,916)",
2. 순확정급여부채(자산) 재측정요소,"14, 20","822,001",,"(513,309)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,-,,-
Ⅲ. 총포괄손익,,,"26,031,896",,"30,357,729"
