구 분,산업재산권,개발비,회원권,기타의무형자산,계
기초장부가액,"944,166","1,180,618","151,043","616,017","2,891,844"
내부개발에 의한 취득,-,"447,540",-,-,"447,540"
개별 취득,"200,512",-,"57,560","137,484","395,556"
상각,"(168,707)","(687,365)",-,"(230,226)","(1,086,298)"
처분/폐기,"(21,284)",-,"(1,124)",(41),"(22,449)"
손상,-,"(110,409)","(23,617)",-,"(134,026)"
기타,-,-,"6,686","328,182","334,868"
기말장부가액,"954,687","830,384","190,548","851,416","2,827,035"
