구 분,기초,재무현금흐름,비현금흐름,,기말
리스신규계약,기타(*),,,,
단기차입금,"12,520,367","(3,288,858)",-,"(27,241)","9,204,268"
사채 및 장기차입금,"269,877","(117,963)","451,828","(3,451)","600,291"
계,"12,790,244","(3,406,821)","451,828","(30,692)","9,804,559"
