구 분,당기,,전기,
매출채권,미수금,매출채권,미수금,
기초,"58,740","6,230","56,432","6,387"
대손상각(환입),"68,237",(330),"2,308",(145)
제각,-,"(1,597)",-,(12)
기말,"126,977","4,303","58,740","6,230"
