구 분,당기,전기
매출채권의 감소(증가),"(8,102,318)","1,680,321"
미수금의 감소(증가),"54,306","468,606"
장단기선급비용의 감소(증가),"(198,371)","(86,681)"
재고자산의 감소(증가),"(2,732,143)","(1,680,513)"
매입채무의 증가(감소),"4,935,529","(867,032)"
장단기미지급금의 증가(감소),"1,004,128","296,526"
선수금의 증가(감소),"50,363","68,806"
예수금의 증가(감소),"191,872","49,264"
미지급비용의 증가(감소),"920,919","2,030,147"
장단기충당부채의 증가(감소),"1,570,118","1,216,028"
퇴직금의 지급,"(405,203)","(410,608)"
사외적립자산의 감소(증가),"(2,363,367)","(1,964,705)"
기타,"(707,488)","(1,193,365)"
계,"(5,781,655)","(393,206)"
