감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,17,11,1,1,26,37,18,24,74,53,-,-,136,126
투입시간,분ㆍ반기검토,32,49,612,400,"14,976","15,050","4,194","4,308","4,287","4,548",-,-,"24,101","24,355"
감사,154,121,676,396,"18,643","10,527","5,235","4,435","18,830","10,567",-,-,"43,538","26,046",
합계,186,170,"1,288",796,"33,619","25,577","9,429","8,743","23,117","15,115",-,-,"67,639","50,401",
