구 분,,당기,전기
배당받을 주식(*),보통주,"5,969,782,550주","119,688,369주"
우선주,"822,886,700주","16,530,409주",
배당률(액면가 기준),보통주,354%,430%
우선주,355%,431%,
배당금액,보통주,"2,113,303","2,573,300"
우선주,"292,125","356,230",
계,"2,405,428","2,929,530",
