금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
평가손익(기타포괄손익),-,"356,472",-,"356,472"
평가ㆍ처분손익(당기손익),-,-,"365,387","365,387"
이자수익,"371,106",-,-,"371,106"
외환차이(당기손익),"(216,145)",-,-,"(216,145)"
배당금수익,-,"4,081",637,"4,718"
손상(환입),"(2,113)",-,-,"(2,113)"
