과 목,주 석,제 53 (당) 기,,제 52 (전) 기,
Ⅰ. 당기순이익,,,"30,970,954",,"15,615,018"
Ⅱ. 기타포괄손익,,,"(613,225)",,"(549,299)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"(613,225)",,"(549,299)"
1. 기타포괄손익-공정가치금융자산평가손익,"6, 20","(99,916)",,"93,251",
2. 순확정급여부채(자산) 재측정요소,"14, 20","(513,309)",,"(642,550)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,-,,-
Ⅲ. 총포괄손익,,,"30,357,729",,"15,065,719"
