구 분,당기말,전기말
기금이 적립된 확정급여채무의 현재가치,"9,740,095","8,265,802"
기금이 적립되지 않은 확정급여채무의 현재가치,"13,987","12,106"
소 계,"9,754,082","8,277,908"
사외적립자산의 공정가치,"(10,916,538)","(8,764,763)"
순확정급여부채(자산) 계,"(1,162,456)","(486,855)"
