구 분,CE 부문,IM 부문,DS 부문,계(*)
매출액,"33,729,352","73,506,114","94,373,136","199,744,705"
감가상각비,"96,931","206,276","19,457,650","20,164,109"
무형자산상각비,"58,754","1,251,306","891,431","2,391,770"
영업이익,"(712,563)","7,118,710","25,592,201","31,993,162"
